room_type,prix_moyen,prix_median,ville
Entire home/apt,287.83510652593293,285.26338417063545,Paris
Hotel room,469.9216277008402,285.26338417063545,Paris
Private room,251.89735396718115,285.26338417063545,Paris
Shared room,111.67125477988154,57,Paris
Entire home/apt,137.99500510503378,125.32582384661474,Bordeaux
Hotel room,158.41572798082683,127.66291192330738,Bordeaux
Private room,82.49625395239282,62,Bordeaux
Shared room,57.450137307769126,31,Bordeaux
Entire home/apt,108.99513880977337,106.44659132336858,Lyon
Hotel room,128.8036618463159,106.44659132336858,Lyon
Private room,96.5519398816386,106.44659132336858,Lyon
Shared room,84.39805218478205,106.44659132336858,Lyon
